actor,Movie_or_TV_name
Sofia Coppola,The Princess Who Had Never Laughed
Sofia Coppola,Frankenweenie
Sofia Coppola,The Cotton Club
Sofia Coppola,Rumble Fish
Sofia Coppola,The Outsiders
Sofia Coppola,The Godfather Saga
Sofia Coppola,The Godfather: Part II
Sofia Coppola,The Godfather
Sofia Coppola,The Custom of the Country
Sofia Coppola,New York City Ballet
Sofia Coppola,On the Rocks
Sofia Coppola,The Beguiled
Sofia Coppola,La Traviata
Sofia Coppola,A Very Murray Christmas
Sofia Coppola,Phoenix: Chloroform
Sofia Coppola,Dior: Miss Dior Blooming Bouquet
Sofia Coppola,The Bling Ring
Sofia Coppola,Dior: Miss Dior
Sofia Coppola,Somewhere
Sofia Coppola,Dior: Miss Dior Cherie
Sofia Coppola,Marie Antoinette
Sofia Coppola,VOID (Video Overview in Deceleration)
Sofia Coppola,Kevin Shields: City Girl
Sofia Coppola,The White Stripes: I Just Don't Know What to Do with Myself
Sofia Coppola,Lost in Translation
Sofia Coppola,Un matin partout dans le monde
Sofia Coppola,Air: Playground Love
Sofia Coppola,The Virgin Suicides
Sofia Coppola,Lick the Star
Sofia Coppola,The Flaming Lips: This Here Giraffe
Sofia Coppola,"Bed, Bath and Beyond"
Sofia Coppola,Walt Mink: Shine
Sofia Coppola,The Custom of the Country
Sofia Coppola,New York City Ballet
Sofia Coppola,On the Rocks
Sofia Coppola,The Beguiled
Sofia Coppola,A Very Murray Christmas
Sofia Coppola,The Bling Ring
Sofia Coppola,Somewhere
Sofia Coppola,Marie Antoinette
Sofia Coppola,Lost in Translation
Sofia Coppola,Platinum
Sofia Coppola,The Virgin Suicides
Sofia Coppola,Lick the Star
Sofia Coppola,Hi Octane
Sofia Coppola,New York Stories
Sofia Coppola,Fairyland
Sofia Coppola,On the Rocks
Sofia Coppola,The Beguiled
Sofia Coppola,A Very Murray Christmas
Sofia Coppola,The Bling Ring
Sofia Coppola,Somewhere
Sofia Coppola,Marie Antoinette
Sofia Coppola,Lost in Translation
Sofia Coppola,Platinum
Sofia Coppola,High Octane
Sofia Coppola,Beastie Boys: Video Anthology
Sofia Coppola,Lick the Star
